4,13,17,32
4,13,22,27
4,13,22,45
4,13,27,44
4,13,27,64
4,13,33,40
4,13,39,42
4,13,39,54
4,13,42,47
4,13,42,51
4,13,42,59
4,13,44,45
4,13,45,64
4,13,47,54
4,13,49,64
4,13,51,54
4,13,54,59
4,14,18,42
4,14,18,54
4,14,21,27
4,14,21,45
4,14,25,33
4,14,27,35
4,14,35,45
4,14,39,41
4,14,41,51
4,14,42,60
4,14,54,60
4,15,17,56
4,15,19,42
4,15,19,54
4,15,23,38
4,15,23,46
4,15,37,42
4,15,37,54
4,15,38,53
4,15,46,53
4,17,18,31
4,17,18,61
4,17,22,27
4,17,22,45
4,17,24,25
4,17,25,32
4,17,27,30
4,17,27,36
4,17,27,44
4,17,30,45
4,17,30,49
4,17,31,60
4,17,36,45
4,17,36,49
4,17,39,42
4,17,39,54
4,17,42,47
4,17,42,51
4,17,42,59
4,17,44,45
4,17,47,54
4,17,50,63
4,17,51,54
4,17,54,59
4,17,56,57
4,17,58,63
4,17,60,61
4,18,19,21
4,18,21,37
4,18,21,49
4,18,23,47
4,18,23,59
4,18,30,38
4,18,30,46
4,18,36,38
4,18,36,46
4,18,40,42
4,18,40,54
4,18,47,53
4,18,53,59
4,19,21,60
4,19,30,47
4,19,30,59
4,19,36,47
4,19,36,59
4,19,42,57
4,19,54,57
4,20,21,47
4,20,21,59
4,20,27,41
4,20,41,45
4,21,22,33
4,21,23,30
4,21,23,36
4,21,26,27
4,21,26,45
4,21,27,40
4,21,27,52
4,21,28,47
4,21,28,59
4,21,30,53
4,21,33,44
4,21,34,35
4,21,35,62
4,21,36,53
4,21,37,60
4,21,39,50
4,21,39,58
4,21,40,45
4,21,41,56
4,21,45,52
4,21,47,50
4,21,47,58
4,21,49,60
4,21,50,51
4,21,50,59
4,21,51,58
4,21,58,59
4,22,25,27
4,22,25,45
4,22,39,49
4,22,49,51
4,23,30,35
4,23,31,42
4,23,31,54
4,23,35,36
4,23,38,57
4,23,42,61
4,23,46,57
4,23,47,60
4,23,54,61
4,23,59,60
4,24,39,47
